Ticker,Fund Name,Segment,% Allocation,Market Value,# Of Shares,Shares Held,30 Day,Strategy
TILT,FlexShares Morningstar US Market Factor Tilt Index Fund,Equity: U.S. - Total Market,0.02%,$286.50K,11.36K,11360,0.51%,Multi-Factor
ESGV,Vanguard ESG U.S. Stock ETF,Equity: U.S. - Total Market,0.02%,$1.55M,54.11K,54110,3.90%,ESG
CVLC,Calvert US Large-Cap Core Responsible Index ETF,Equity: U.S. - Large Cap,0.02%,$50.79K,2.01K,2010,3.16%,ESG
SCHX,Schwab U.S. Large-Cap ETF,Equity: U.S. - Large Cap,0.01%,$5.98M,237.11K,237110,3.30%,Vanilla
SCHK,Schwab 1000 Index ETF,Equity: U.S. - Large Cap,0.01%,$487.86K,19.34K,19340,3.18%,Vanilla
GUSA,Goldman Sachs MarketBeta US 1000 Equity ETF,Equity: U.S. - Large Cap,0.01%,$226.90K,9.00K,9000,2.83%,Vanilla
IWB,IShares Russell 1000 ETF,Equity: U.S. - Large Cap,0.01%,$4.88M,193.41K,193410,3.09%,Vanilla
IYY,IShares Dow Jones U.S. ETF,Equity: U.S. - Total Market,0.01%,$262.62K,10.41K,10410,3.00%,Vanilla
STXG,Strive 1000 Growth ETF,Equity: U.S. - Large Cap Growth,0.01%,$10.67K,423,423,5.80%,Growth
ITOT,IShares Core S&P Total U.S. Stock Market ETF,Equity: U.S. - Total Market,0.01%,$7.47M,296.05K,296050,2.77%,Vanilla
VONE,Vanguard Russell 1000 ETF,Equity: U.S. - Large Cap,0.01%,$612.72K,26.48K,26480,3.07%,Vanilla
SCHB,Schwab U.S. Broad Market ETF,Equity: U.S. - Total Market,0.01%,$3.77M,149.30K,149300,2.79%,Vanilla
IWV,IShares Russell 3000 ETF,Equity: U.S. - Total Market,0.01%,$1.81M,71.96K,71960,2.70%,Vanilla
STXV,Strive 1000 Value ETF,Equity: U.S. - Large Cap Value,0.01%,$5.75K,228,228,-2.68%,Value
VTHR,Vanguard Russell 3000 ETF,Equity: U.S. - Total Market,0.01%,$293.82K,12.70K,12700,2.53%,Vanilla
VTI,Vanguard Total Stock Market ETF,Equity: U.S. - Total Market,0.01%,$46.45M,2.01M,2010000,2.79%,Vanilla
SPTM,SPDR Portfolio S&P 1500 Composite Stock Market ETF,Equity: U.S. - Total Market,0.01%,$1.01M,40.21K,40210,3.07%,Vanilla
VT,Vanguard Total World Stock ETF,Equity: Global - Total Market,0.01%,$2.77M,119.55K,119550,1.05%,Vanilla
SPGM,SPDR Portfolio MSCI Global Stock Market ETF,Equity: Global - Total Market,0.01%,$51.85K,2.06K,2060,1.37%,Vanilla
AVLC,Avantis US Large Cap Equity ETF,Equity: U.S. - Large Cap,0.01%,$19.29K,765,765,1.58%,Active
KRUZ,Unusual Whales Subversive Republican Trading ETF,Equity: Global - Total Market,0.00%,$756.60 ,30,30,-1.08%,Active
MMTM,SPDR S&P 1500 Momentum Tilt ETF,Equity: U.S. - Total Market,0.00%,$2.17K,86,86,5.61%,Momentum
AVUS,Avantis U.S. Equity ETF,Equity: U.S. - Total Market,0.00%,$29.66K,1.18K,1180,0.60%,Active
